Protein,Log2 Fold,p-value,Unique Pep,Sig1,Sig2,Clamped
sll0262,6.61807524,0.00E+00,1,FALSE,FALSE,0
slr0088,6.506713608,0.00E+00,1,FALSE,FALSE,0
sll0240,5.772007577,0.00E+00,1,FALSE,FALSE,0
sll1127,4.956435505,0.00E+00,1,FALSE,FALSE,0
slr1219,3.806531387,0.00E+00,1,FALSE,FALSE,0
sll0379,3.506530222,0.00E+00,6,TRUE,TRUE,3.506530222
slr1777,3.42899805,0.00E+00,5,TRUE,TRUE,3.42899805
sll0631,3.185845777,0.00E+00,2,TRUE,TRUE,3.185845777
sll1249,2.693096905,0.00E+00,5,TRUE,TRUE,2.693096905
sll0506,2.480742434,1.24E-13,2,TRUE,TRUE,2.480742434
slr0746,2.470102947,0.00E+00,1,FALSE,FALSE,0
slr1072,2.385662873,0.00E+00,1,FALSE,FALSE,0
slr1762,2.068831688,9.56E-02,1,FALSE,FALSE,0
sll1471,2.066809601,0.00E+00,12,TRUE,TRUE,2.066809601
sll0469,2.058552941,0.00E+00,6,TRUE,TRUE,2.058552941
sll1098,2.052820797,0.00E+00,22,TRUE,TRUE,2.052820797
sll0622,2.014454447,7.14E-12,1,FALSE,FALSE,0
sml0008,1.636047143,0.00E+00,1,FALSE,FALSE,0
sll0033,1.535498098,0.00E+00,4,TRUE,TRUE,1.535498098
slr1653,1.517475102,2.20E-14,1,FALSE,FALSE,0
slr1379,1.502303241,4.42E-02,1,FALSE,FALSE,0
slr0415,1.489233398,0.00E+00,1,FALSE,FALSE,0
sll0899,1.448118823,0.00E+00,3,TRUE,TRUE,1.448118823
ssr0390,1.439148125,3.24E-05,2,FALSE,FALSE,0
sll0542,1.407772632,0.00E+00,9,TRUE,TRUE,1.407772632
sll0179,1.360396881,0.00E+00,18,TRUE,TRUE,1.360396881
slr1933,1.341168905,2.44E-14,1,FALSE,FALSE,0
slr1096,1.308736632,0.00E+00,24,TRUE,TRUE,1.308736632
slr1884,1.292085596,0.00E+00,6,TRUE,TRUE,1.292085596
slr1254,1.272228328,0.00E+00,5,TRUE,TRUE,1.272228328
sll1023,1.241123876,0.00E+00,2,TRUE,TRUE,1.241123876
slr1247,1.206538733,1.57E-09,10,TRUE,TRUE,1.206538733
slr0089,1.19543526,0.00E+00,5,TRUE,TRUE,1.19543526
sll0679,1.193452029,4.32E-12,4,TRUE,TRUE,1.193452029
sll1415,1.188156858,1.47E-14,2,TRUE,TRUE,1.188156858
slr0384,1.174727224,9.21E-15,1,FALSE,FALSE,0
sll0757,1.164620702,0.00E+00,8,TRUE,TRUE,1.164620702
sll0223,1.162987216,0.00E+00,2,TRUE,TRUE,1.162987216
slr0049,1.123309283,0.00E+00,11,TRUE,FALSE,1.123309283
sll1796,1.107557207,2.52E-12,1,FALSE,FALSE,0
sll1450,1.065117323,5.15E-09,21,TRUE,FALSE,1.065117323
slr0017,1.043533145,2.13E-12,2,TRUE,FALSE,1.043533145
sll0144,1.042491492,0.00E+00,8,TRUE,FALSE,1.042491492
sll0711,1.041021603,0.00E+00,4,TRUE,FALSE,1.041021603
slr0949,1.037214141,8.90E-11,1,FALSE,FALSE,0
slr0591,1.003960647,0.00E+00,1,FALSE,FALSE,0
